brand,model,processor,ram_size,storage_size,gpu,motherboard,unit_price
hp,omnibook_x,ryzen_5,16_gb,1_tb,integrated,No,119500
msi,thin_15,i7,64_gb,512_gb,nvidia_geforce,No,67780
hp,laptop_ep0341tu,i3,8_gb,512_gb,integrated,No,39900
hp,laptop_ep0340tu,i5,16_gb,512_gb,integrated,No,60200
hp,laptop_fd0466tu,i5,8_gb,512_gb,integrated,No,54800
hp,laptop_fc0155au,ryzen_5,8_gb,512_gb,integrated,No,39900
hp,laptop_fd0186tu,i3,8_gb,512_gb,integrated,No,41900
old,laptop_hp,i5,8_gb,256_gb,integrated,No,16000
microsoft,surface_laptop,snapdragon,16_gb,512_gb,integrated,No,159500
dell,inspiron_5430,i5,16_gb,512_gb,integrated,No,64499
hp,15_13th,i7,16_gb,512_gb,integrated,No,65500
microsoft,surface_laptop,snapdragon,16_gb,512_gb,integrated,No,145500
dell,latitude_15,i5,16_gb,512_gb,intel_iris,No,65490
hp,14_13th,i7,32_gb,1_tb,integrated,No,81000
dell,3520_vostro,i5,8_gb,512_gb,integrated,No,41500
lenovo,thinkpad_e14,i7,16_gb,1_tb,integrated,No,99000
apple,macbook_air,m4,8_gb,1_tb,integrated,No,278300
dell,3530_inspiron,i5,8_gb,512_gb,integrated,No,44500
dell,inspiron_dell,i7,16_gb,512_gb,integrated,No,65490
hp,fa2700tx_victus,i5,16_gb,512_gb,nvidia_geforce,No,66000
hp,fa2703_tx,i5,16_gb,512_gb,rtx,No,59000
hp,hp255g10_hp,athlon,8_gb,256_gb,integrated,No,21000
hp,fd_0467,i5,16_gb,512_gb,integrated,No,51500
hp,fd_0466,i5,8_gb,512_gb,integrated,No,46000
msi,katana_a17,ryzen_9,16_gb,1_tb,nvidia_geforce,No,99499
hp,victus_13th,i7,8_gb,1_tb,rtx,No,109500
hp,victus_,i5,16_gb,512_gb,nvidia_geforce,No,69600
hp,victus_,i5,16_gb,512_gb,nvidia_geforce,No,65500
hp,victus_2703,i5,16_gb,512_gb,rtx,No,59000
acer,nitro_v,ryzen_7,16_gb,512_gb,nvidia_geforce,No,76990
lenovo,ideapad_slim,i7,16_gb,512_gb,integrated,No,62999
dell,inspiron_dell,i5,16_gb,1_tb,integrated,No,57299
hp,fa_2703tx,i5,16_gb,512_gb,rtx,No,59000
hp,fa_2700,i5,16_gb,512_gb,nvidia_geforce,No,66000
hp,ek_1074,i5,16_gb,512_gb,integrated,No,63500
hp,fa_1278,i5,16_gb,512_gb,nvidia_geforce,No,69500
hp,pavilion_x360,i5,16_gb,1_tb,integrated,No,71550
hp,255_g10,athlon,8_gb,256_gb,integrated,No,21000
hp,fd0467_tu,i5,16_gb,512_gb,integrated,No,51990
hp,fd0466_tu,i5,8_gb,512_gb,integrated,No,46000
hp,ep0341_tu,i3,8_gb,512_gb,integrated,No,36000
dell,inspiron_13th,i5,16_gb,512_gb,integrated,No,51490
apple,macbook_air,m4,16_gb,256_gb,integrated,No,120500
hp,ep0340_hp,i5,16_gb,512_gb,intel_uhd,No,51900
dell,vostro_3520,i3,8_gb,512_gb,integrated,No,36999
lenovo,thinkbook_16,ryzen_7,16_gb,512_gb,integrated,No,56550
lenovo,e14_thinkpad,i3,8_gb,512_gb,integrated,No,53200
lenovo,e14_thinkpad,i5,16_gb,512_gb,integrated,No,76200
acer,nitro_v,ryzen_7,16_gb,512_gb,nvidia_geforce,No,76999
msi,katana_17,i7,16_gb,512_gb,nvidia_geforce,No,66700
hp,250_rg9,i3,16_gb,512_gb,integrated,No,29900
hp,fd_0467tu,i5,16_gb,512_gb,integrated,No,52000
dell,3520_vostro,i3,8_gb,512_gb,integrated,No,30600
dell,3440_latitute,i3,8_gb,512_gb,integrated,No,27900
asus,rog_strix,ryzen_7,16_gb,512_gb,rtx,No,87900
lenovo,v14_intel,i3,8_gb,512_gb,integrated,No,33000
dell,inspiron_5430,i5,16_gb,512_gb,integrated,No,64500
apple,macbook_air,m4,24_gb,512_gb,integrated,No,133950
asus,vivobook_s,i9,16_gb,512_gb,integrated,No,83450
hp,14s_core,i3,8_gb,512_gb,integrated,No,37550
lenovo,legion_5,i7,32_gb,1_tb,rtx,No,134900
dell,vostro_3520,i3,8_gb,512_gb,integrated,No,36990
lenovo,ideapad_slim,i7,16_gb,512_gb,integrated,No,65498
msi,katana_a17,ryzen_9,16_gb,1_tb,nvidia_geforce,No,99450
lenovo,v14_core,i3,8_gb,512_gb,integrated,No,29900
lenovo,v14_core,i5,8_gb,512_gb,integrated,No,37200
lenovo,v14_core,i7,6_gb,512_gb,integrated,No,43000
apple,macbook_air,m4,24_gb,512_gb,integrated,No,139298
msi,thin_15,i5,64_gb,512_gb,nvidia_geforce,No,53587
dell,3440latitute_dell,i3,8_gb,512_gb,integrated,No,26000
dell,vostro3520_dell,i5,8_gb,512_gb,integrated,No,41890
dell,vostro3520_dell,i3,8_gb,512_gb,integrated,No,29900
hp,fd0467_tu,i5,16_gb,512_gb,integrated,No,53000
hp,fd0465_tu,i3,8_gb,512_gb,integrated,No,33700
hp,hp_laptop,i5,16_gb,512_gb,integrated,No,67490
hp,hp_laptop,i5,16_gb,512_gb,integrated,No,55490
hp,pavilion_16,ultra_5,16_gb,1_tb,integrated,No,62568
dell,inspiron_3530,i5,16_gb,512_gb,integrated,No,56490
dell,vostro350_dell,i3,8_gb,512_gb,integrated,No,41500
hp,fd_0582,i3,8_gb,512_gb,intel_uhd,No,35500
hp,fd0466tu_hp,i5,8_gb,512_gb,integrated,No,46000
msi,katana_a17,ryzen_9,16_gb,1_tb,nvidia_geforce,No,99567
dell,3530_inspiron,i5,8_gb,512_gb,integrated,No,67999
asus,vivobook_15,i7,16_gb,512_gb,integrated,No,59900
dell,inspiron_7430,i7,16_gb,512_gb,integrated,No,98000
dell,inspiron_13th,i5,16_gb,1_tb,intel_uhd,No,59000
lenovo,ideapad_slim,i7,16_gb,512_gb,integrated,No,61499
microsoft,new_surface,snapdragon,16_gb,256_gb,integrated,No,113389
hp,pavilion_x360,i7,16_gb,512_gb,integrated,No,83998
dell,g155530_dell,i5,8_gb,512_gb,integrated,No,94999
dell,3535_inspiron,i5,8_gb,512_gb,integrated,No,39999
dell,vostro_laptopi51235u,i5,2_gb,512_gb,integrated,No,46999
dell,5630_inspiron,i5,6_gb,512_gb,integrated,No,83999
lenovo,legion_slim,i9,8_gb,1_tb,rtx,No,160000
apple,macbook_air,m4,16_gb,256_gb,integrated,No,90980
hp,fd467tu_hp,i5,16_gb,512_gb,integrated,No,53000
dell,3520_vostro,i3,8_gb,512_gb,integrated,No,29900
dell,3440_latitute,i3,8_gb,512_gb,integrated,No,26000
hp,fd0465_tu,i3,8_gb,512_gb,integrated,No,34500
lenovo,thinkpad_e14,i7,16_gb,1_tb,integrated,No,91499
hp,15_intel,ultra_5,16_gb,1_tb,integrated,No,68198
lenovo,ideapad_flex,i5,16_gb,512_gb,integrated,No,62990
dell,3440latitute_dell,i5,8_gb,512_gb,integrated,No,45000
dell,3440latitute_dell,i3,8_gb,512_gb,integrated,No,26500
hp,hp_laptop,ultra_5,16_gb,1_tb,integrated,No,69499
lenovo,ideapad_slim,i7,24_gb,1_tb,integrated,No,85499
dell,3520vostro_dell,i5,8_gb,512_gb,integrated,No,42000
hp,fd0129_hp,i3,8_gb,512_gb,intel_uhd,No,35990
dell,3440_dell,i3,8_gb,512_gb,integrated,No,26700
dell,3520vostro_dell,i5,8_gb,512_gb,integrated,No,42500
acer,nitro_v,ryzen_7,16_gb,512_gb,nvidia_geforce,No,76499
dell,inspiron_13th,i5,16_gb,1_tb,integrated,No,56499
dell,inspiron_i713620h,i7,16_gb,512_gb,integrated,No,77499
hp,fy5007_tu,i5,8_gb,512_gb,integrated,No,42000
dell,3440_latitute,i5,8_gb,512_gb,integrated,No,45000
hp,victus_12th,i7,16_gb,1_tb,rtx,No,74598
dell,dell_laptop,i5,16_gb,1_tb,rtx,No,74990
acer,alg_alg,i5,16_gb,1_tb,rtx,No,57990
lenovo,v15_i3,i3,8_gb,512_gb,integrated,No,27600
lenovo,thinkbook_tb14,i5,16_gb,512_gb,integrated,No,67490
asus,tuf_gaming,ryzen_7,16_gb,512_gb,integrated,No,63490
dell,latitude_3420,i3,8_gb,512_gb,integrated,No,36000
lenovo,loq_i512450hx,i5,16_gb,512_gb,rtx,No,70499
dell,inspiron_13th,i7,16_gb,512_gb,integrated,No,68499
dell,inspiron_13th,i5,16_gb,1_tb,integrated,No,57490
dell,3530inspiron_dell,i5,8_gb,512_gb,integrated,No,46000
dell,3520vostro_dell,i5,8_gb,512_gb,integrated,No,41500
dell,3520_,i3,8_gb,512_gb,integrated,No,29990
hp,15fa1319x_13th,i5,16_gb,512_gb,rtx,No,75499
dell,inspiron_3530,i3,8_gb,512_gb,integrated,No,36490
asus,fa506nfrhn045w_tuf,i5,6_gb,512_gb,integrated,No,54999
lenovo,83em00gtin_ideapad,m3,8_gb,512_gb,integrated,No,63990
acer,aspire_lite,ryzen_5,6_gb,512_gb,integrated,No,31990
hp,fy5006tu_12th,i3,6_gb,500_gb,integrated,No,30999
dell,inspiron_3530,i7,8_gb,512_gb,integrated,No,67999
hp,fc0154au_amd,ryzen_3,32_gb,512_gb,integrated,No,29999
lenovo,83eq0072in_ideapad,m3,8_gb,512_gb,integrated,No,49490
dell,inspiron_3530,i3,8_gb,512_gb,integrated,No,38990
hp,victus_victus,i5,8_gb,512_gb,integrated,No,69990
dell,inspiron_3530,i5,8_gb,512_gb,integrated,No,56999
dell,3440_latitude,i3,4_gb,512_gb,integrated,No,27990
dell,inspiron_3530,i5,8_gb,512_gb,integrated,No,66990
dell,inspiron_inspiron,i5,8_gb,512_gb,integrated,No,52999
dell,inspiron_inspiron,i5,8_gb,512_gb,integrated,No,36990
dell,15_15,i5,8_gb,512_gb,integrated,No,46990
dell,14_14,i3,2_gb,512_gb,integrated,No,32990
dell,15_15,i5,2_gb,512_gb,integrated,No,30990
hp,15_13th,i3,8_gb,512_gb,integrated,No,33990
hp,fd0467tu_13th,i5,6_gb,512_gb,integrated,No,56490
hp,hp_laptop,i5,16_gb,512_gb,rtx,No,64499
lenovo,ideapad_slim,i7,16_gb,512_gb,integrated,No,66499
lenovo,loq_amd,ryzen_7,8_gb,512_gb,rtx,No,91130
lenovo,loq_amd,ryzen_5,6_gb,512_gb,rtx,No,61490
dell,g_series,ryzen_7,16_gb,512_gb,rtx,No,78490
hp,255_7000,ryzen_5,2_gb,512_gb,integrated,No,28990
hp,eq2144au_amd,ryzen_5,2_gb,500_gb,integrated,No,34990
hp,fd0006tu_15,i5,6_gb,512_gb,integrated,No,33990
hp,fd0467tu_13th,i5,6_gb,512_gb,integrated,No,53990
hp,fq5329tu_15s,i5,32_gb,512_gb,integrated,No,40499
hp,fy5011tu_i31215u,i3,2_gb,512_gb,integrated,No,30990
hp,fa1379txfa1412tx_victus,i5,2_gb,512_gb,integrated,No,57999
hp,fc0154au_amd,ryzen_3,32_gb,512_gb,integrated,No,28999
hp,fy5009tu_12th,i5,2_gb,500_gb,integrated,No,46999
hp,fd0006tu_13th,i5,6_gb,512_gb,integrated,No,33999
hp,hp_laptop,i5,16_gb,512_gb,integrated,No,67999
hp,hp_laptop,ultra_5,16_gb,512_gb,integrated,No,61499
dell,3440_dell,i5,8_gb,512_gb,integrated,No,44900
lenovo,v14_core,i3,8_gb,512_gb,integrated,No,26990
asus,zenbook_1yearoffice,i5,8_gb,512_gb,integrated,No,120999
asus,vivobook_intel,ultra_7,8_gb,512_gb,integrated,No,107999
asus,vivobook_s,i5,4_gb,512_gb,integrated,No,85999
asus,vivobook_windows,i5,2_gb,512_gb,integrated,No,37999
asus,vivobook_x1502vabq835ws,i5,8_gb,512_gb,integrated,No,50999
asus,vivobook_k3605zfrp458ws,i5,8_gb,512_gb,integrated,No,55999
asus,vivobook_e1404fank325ws,i5,32_gb,512_gb,integrated,No,27990
asus,vivobook_x1504zanj320ws,i5,32_gb,512_gb,integrated,No,31999
asus,gaming_a15,i5,6_gb,512_gb,integrated,No,62990
asus,vivobook_x1607camb139ws,i5,16_gb,512_gb,integrated,Yes,68990
dell,inspiron_fhd,i5,2_gb,512_gb,integrated,No,33999
dell,7440_16gb,ryzen_5,16_gb,512_gb,integrated,No,77499
dell,inspiron_13th,i3,8_gb,512_gb,integrated,No,34499
dell,latitude_business,i5,8_gb,512_gb,integrated,No,33499
dell,g155525_win,i5,2_gb,512_gb,integrated,No,78999
dell,5630_13th,i5,6_gb,512_gb,integrated,No,61890
dell,3440_1215u,i5,8_gb,512_gb,integrated,No,28999
dell,3530_13th,i3,8_gb,512_gb,integrated,No,34990
dell,3520_12th,i5,8_gb,512_gb,integrated,No,29999
dell,3530_13th,i5,8_gb,512_gb,integrated,No,51999
lenovo,v15_core,i5,8_gb,512_gb,integrated,No,37400
lenovo,v15_core,i3,8_gb,512_gb,integrated,No,27400
hp,250_g10,i5,16_gb,512_gb,integrated,No,49000
hp,250_rg9,i5,16_gb,512_gb,integrated,No,48000
hp,fy5007tu_hp,i5,8_gb,512_gb,integrated,No,42000
hp,hp_victus,i7,8_gb,1_tb,rtx,No,90280
hp,15fa0187tx_gaming,i7,16_gb,1_tb,integrated,No,72990
hp,hp_laptop,i7,16_gb,512_gb,integrated,No,69490
lenovo,loq_amd,ryzen_5,6_gb,512_gb,rtx,No,59499
lenovo,loq_amd,ryzen_7,24_gb,512_gb,rtx,No,80490
lenovo,loq_12th,i5,16_gb,512_gb,rtx,No,66990
hp,14ew1082tu_aienhanced,ultra_5,16_gb,512_gb,integrated,No,85499
lenovo,ideapad_slim,i5,8_gb,512_gb,integrated,No,86990
dell,vostro_brand,i5,16_gb,512_gb,integrated,No,54990
hp,hp_255,i7,8_gb,512_gb,integrated,No,29961
lenovo,laptop_lenovo,i5,16_gb,512_gb,integrated,No,60000
lenovo,laptop_lenovo,i5,16_gb,512_gb,integrated,No,50000
lenovo,laptop_lenovo,i7,16_gb,512_gb,integrated,No,58000
lenovo,v15_i5,i5,16_gb,512_gb,integrated,No,40690
lenovo,loq_amd,ryzen_5,2_gb,512_gb,integrated,No,63490
hp,15_amd,ryzen_3,32_gb,512_gb,integrated,No,28990
lenovo,v14_g3,i7,2_gb,512_gb,integrated,No,42990
lenovo,ideapad_slim,i5,2_gb,512_gb,integrated,No,55190
lenovo,83em00h0in_16gb,i5,16_gb,512_gb,integrated,No,55890
lenovo,v15_15612th,i5,6_gb,512_gb,integrated,No,39999
