Brand & Model + Spec,Unit Price,Seller
"HP OmniBook X, Snapdragon® X Elite X1E-78-100,14inch(35.6 cm),2.2K Touch Display,IPS,16GB LPDDR5x,1TB SSD (14-fe0121QU)",Rs. 119500,Mashiva Tech.9990666322
"MSI Thin 15, Intel 13th Gen. Core i7-13620H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB) B13UC-1804IN",Rs. 67780,Panacea Innovative Technologies9990666334
"HP LAPTOP EP0341TU, HP Laptop 14 ep0341TU 14 Core i3 13th Gen 8 GB RAM 512 GB SSD",Rs. 39900,K.R.P. IT Solutions8860205927
"HP LAPTOP EP0340TU, HP Laptop 14 ep0340TU 14 Core i5 13th Gen 16 GB RAM 512 GB SSD",Rs. 60200,""""
"HP LAPTOP FD0466TU, HP Laptop 15 fd0466TU 15.6 Core i5 13th Gen 8 GB DDR4 512 GB SSD",Rs. 54800,""""
"HP LAPTOP FC0155AU, HP Laptop 15 fc0155AU 15.6 Ryzen 5 7520U 8 GB LPDDR5 512 GB SSD",Rs. 39900,""""
"HP LAPTOP FD0186TU, HP Laptop 15 fd0186TU 15.6 Core i3 13th Gen 8 GB RAM 512 GB SSD",Rs. 41900,""""
"OLD LAPTOP HP OLD LAPTOP, HP LAPTOP REFURB I5 10TH GEN 8GB RAM 256GB SSD 14INCH 1MONTH WARRANTY",Rs. 16000,""""
"Microsoft Surface Laptop, (7th Edition) - Windows 11 Home Copilot PC - 15” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Graphite - ZHH-00048",Rs. 159500,Mashiva Tech.9990666322
"DELL Inspiron 5430, i5,13th Gen,16GB LPDDR5,512GB SSD,Win 11 MSO2,McAfee 15 Month/Platinum Silver.",Rs. 64499,""""
"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365(1yr)* Office 24 Iris Xe, FHD Camera w/Shutter, Backlit Laptop fd0468tu/fd0515tu",Rs. 65500,Panacea Innovative Technologies9990666334
"Microsoft Surface Laptop, (7th Edition) - Windows 11 Home Copilot   PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Graphite - ZGP-00059",Rs. 145500,""""
"DELL  Latitude 15., Intel Core i5 13th Gen 1335U - (16 GB DDR5/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro.",Rs. 65490,Mashiva Tech.9990666322
"hp 14, 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, (Win 11 Pro, Office 21), Anti-Glare, 14-inch(35.56cm) FHD Laptop, Iris Xe Graphics, Backlit Keyboard 240 G10",Rs. 81000,Panacea Innovative Technologies9990666334
"DELL 3520 VOSTRO, Dell Vostro 3520 i5 Laptop Core i5 12th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 41500,AVS Infomedia6397301845
"Lenovo	 ThinkPad E14, Intel Core i7 12th Gen Laptop (16GB RAM/1TB SSD/Windows 11 Home/MS Office H",Rs. 99000,Mashiva Tech.9990666322
"APPLE MACBOOK AIR, Apple Macbook Pro M4 Max 14inch

36/1Tb

MX2K3HN/A

Mrp - 319900
OFFER -278313",Rs. 278300,AVS Infomedia6397301845
"DELL 3530 INSPIRON, Dell inspiron 3530 i5 Laptop Core i5 13th 8GB 512GB 15.6 W11 MSO 1 Yr Warranty",Rs. 44500,""""
"Dell  Inspiron., Dell Inspiron 15-3530 Laptop , 15.6 inch FHD, 13th Gen Intel Core i7-1355U, 16GB,Windows 11 Home. DDR4 RAM, 512GB SSD,",Rs. 65490,Mashiva Tech.9990666322
"HP FA-2700TX, VICTUS 13th Gen.Corei5/16GB/512GB/15.6 / Backlit KBD/6GB NVIDIA GeForce RTX 3050 6GB / W11 MSO / Silver",Rs. 66000,AVS Infomedia6397301845
"HP FA-2703 TX, HP Victus fa2703tx 13th Gen Intel Core i5-13420H NVIDIA RTX 2050 Gaming Laptop Upgradable 16GB DDR4 512GB SSD 144Hz IPS 300 nits 15.6 / 39.6cm Win11 M365 Office24 Mica Silver",Rs. 59000,""""
"HP HP-255G10, Hp 255g10 athlon 8gb 256gb LED 15.6 INCH win11sl",Rs. 21000,""""
"HP FD 0467 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD WIN OFFICE LED 15.6",Rs. 51500,""""
"HP FD 0466 TU, HP 15, 13th Gen Intel Core i5-1334U Laptop 8GB DDR4 512GB SSD Antiglare 15.6 LED FHD Win 11 M365 BasiC 1yr Office Home 24 Silver 1.59kg Iris Xe FHD Cam fd0466tu",Rs. 46000,""""
